Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Esprit Sushi Fribourg],Price [Esprit Sushi Fribourg],In stock [Esprit Sushi Fribourg],Low stock [Esprit Sushi Fribourg],"Modifier - ""Menu Tokyo""","Modifier - ""Menu Empereur""","Modifier - ""Menu Kobe""","Modifier - ""Menu Maki""","Modifier - ""Menu Kyoto""","Modifier - ""Menu Nigiri""","Modifier - ""Menu végétarien I""","Modifier - ""Menu Best of""","Modifier - ""Menu Végétarien II""","Modifier - ""Menu Duo""","Modifier - ""Gyozas""","Modifier - ""Mangajo""","Modifier - ""Coca""","Modifier - ""Henniez""","Modifier - ""Sushiwich""","Modifier - ""Lunchox maki""","Modifier - ""Lunchox gyoza""","Modifier - ""Ciboulette""","Modifier - ""Saint Valentin""","Modifier - ""Menthe""","Modifier - ""Confiture de figue""","Modifier - ""Ravioli""","Modifier - ""Accompagnement ravioli""","Modifier - ""Choix Menu vegetarien II""","Modifier - ""Maki pour menus""","Modifier - ""California""","Modifier - ""Nigiri pour menu""","Modifier - ""Sashimi""","Modifier - ""Option menu tokyo""","Modifier - ""Boissons""","Modifier - ""Boisson 2""","Modifier - ""Formule""","Modifier - ""Dessert""","Modifier - ""Ramune""","Modifier - ""Springroll Pour Menu""","Tax - ""Alcool"" (7.7%)","Tax - ""Alimentaire"" (2.5%)"
maki-concombre-avocat,10021,Maki concombre avocat,Maki,,N,,,,,,,0.00,,,,N,Y,6.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
maki-concombre-avocat-cheese,10022,Maki concombre avocat cheese,Maki,,N,,,,,,,0.00,,,,N,Y,6.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
maki-concombre-cheese,10020,Maki concombre cheese,Maki,,N,,,,,,,0.00,,,,N,Y,6.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
maki-crevette-avocat,10089,Maki crevette avocat,Maki,,N,,,,,,,0.00,,,,N,Y,9.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
maki-crevette-concombre-menthe,10019,Maki crevette concombre,Maki,,N,,,,,,,0.00,,,,N,Y,9.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
maki-foie-gras-confis-d'oignons,10025,Maki foie gras confis d'oignons,Maki,,N,,,,,,,0.00,,,,N,Y,10.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
maki-mangue-speculos,10077,Maki mangue speculos,Desserts,,N,,,,,,,0.00,,,,N,Y,7.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
maki-poire-nutella-choco,10078,Maki poire Nutella choco,Desserts,,N,,,,,,,0.00,,,,N,Y,7.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
maki-poulet-avocat-poivron,10024,Maki poulet mangue poivron,Maki,,N,,,,,,,0.00,,,,N,Y,9.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
maki-poulet-moutarde-de-benichon,10189,Maki poulet moutarde de benichon,Maki,,N,,,,,,,0.00,,,,N,Y,9.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
maki-saumon-1,10006,Maki saumon,Maki,,N,,,,,,,0.00,,,,N,Y,7.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
maki-saumon-avocat,10007,Maki saumon avocat,Maki,,N,,,,,,,0.00,,,,N,Y,9.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
maki-saumon-cheese,10008,Maki saumon cheese,Maki,,N,,,,,,,0.00,,,,N,Y,8.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
maki-standart,10169,Maki standart,,,N,,,,,,,0.00,,,,N,Y,9.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
maki-surimi-mayonnaise,10143,maki surimi mayonnaise,Maki,,N,,,,,,,0.00,,,,N,Y,9.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
maki-surimi-mayonnaise-avocat,10184,Maki surimi mayonnaise avocat,Maki,,N,,,,,,,0.00,,,,N,Y,9.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
maki-thon-1,10009,Maki thon,Maki,,N,,,,,,,0.00,,,,N,Y,8.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
maki-thon-avocat,10010,Maki thon avocat,Maki,,N,,,,,,,0.00,,,,N,Y,9.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
maki-thon-cheese,10001,Maki thon cheese,Maki,,N,,,,,,,0.00,,,,N,Y,9.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
maki-thon-cuit-mayonnaise-,10152,Maki Thon cuit mayo avocat,Maki,,N,,,,,,,0.00,,,,N,Y,9.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
thon-cuit-mayonnaise-ciboulette,10012,Maki Thon cuit mayonaise,Maki,,N,,,,,,,0.00,,,,N,Y,9.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
maki-thon-cuit-mayonnaise-avocat,10183,Maki Thon cuit mayonnaise avocat,Maki,,N,,,,,,,0.00,,,,N,Y,9.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
maki-tofu-au-basilic,10016,maki tofu au basilic,Maki,,N,,,,,,,0.00,,,,N,Y,7.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
maki-tofu-au-basilic-confiture-de-figue,10017,Maki tofu au basilic confiture de figue,Maki,,N,,,,,,,0.00,,,,N,Y,7.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
maki-vegetarien,10145,Maki vegetarien,Maki,,N,,,,,,,0.00,,,,N,Y,6.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
makis-(120-pièces),10176,Makis (120 pièces),Lunchbox,,N,,,,,,,0.00,,,,N,Y,109.20,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
mangajo-baie-de-goji,10061,Mangajo,Boissons,,N,,,,,,,0.00,,,,Y,Y,4.50,-122.000,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
best-of,10069,Menu Best of,Menus,,N,,,,,,,0.00,,,,N,Y,22.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y
menu-duo,10068,Menu Duo,Menus,,N,,,,,,,0.00,,,,N,Y,44.90,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y
menu-edo,10201,Menu Edo,Menus,,N,,,,,,,0.00,,,,N,Y,79.90,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,Y
menu-empereur,10071,Menu Empereur,Menus,,N,,,,,,,0.00,,,,N,Y,109.90,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y
menu-hajime,10217,Menu hajime,Menus,"<p>24 Maki, 18 California, 12 springroll, 6 Nigiri</p>",N,,,,,,,0.00,,,,N,Y,99.90,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,Y,N,Y
menu-kobe,10005,Menu Kobe,Menus,,N,,,,,,,0.00,,,,N,Y,129.90,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y
menu-kobe-(réduction-303),10180,Menu Kobe (réduction 303),Lunchbox,,N,,,,,,,0.00,,,,N,Y,90.95,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
menu-kyoto,10066,Menu Kyoto,Menus,,N,,,,,,,0.00,,,,N,Y,20.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y
menu-maguro,10215,Menu Maguro,Menus,"<p id=""isPasted"" style='caret-color: rgb(51, 51, 51); color: rgb(51, 51, 51); font-family: ""Open Sans"", sans-serif;'>Menu sp&eacute;cial thon</p><p style='caret-color: rgb(51, 51, 51); color: rgb(51, 51, 51); font-family: ""Open Sans"", sans-serif;'>- 3 maki thon</p><p style='caret-color: rgb(51, 51, 51); color: rgb(51, 51, 51); font-family: ""Open Sans"", sans-serif;'>- 3 maki thon avocat</p><p style='caret-color: rgb(51, 51, 51); color: rgb(51, 51, 51); font-family: ""Open Sans"", sans-serif;'>- 3 california thon avocat</p><p style='caret-color: rgb(51, 51, 51); color: rgb(51, 51, 51); font-family: ""Open Sans"", sans-serif;'>- 3 california thon avocat mangue</p><p style='caret-color: rgb(51, 51, 51); color: rgb(51, 51, 51); font-family: ""Open Sans"", sans-serif;'>- 1 nigiri thon</p><p style='caret-color: rgb(51, 51, 51); color: rgb(51, 51, 51); font-family: ""Open Sans"", sans-serif;'>- 1 nigiri thpn grill&eacute;</p><p><a style=""color: rgb(235, 73, 71); transition: color 400ms, background-color 400ms; font-family: &quot;Open Sans&quot;, sans-serif;""></a></p>",N,,,,,,,0.00,,,,N,Y,27.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y
menu-maki-1,10065,Menu Maki,Menus,,N,,,,,,,0.00,,,,N,Y,20.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y
menu-michiru-akihiro,10216,Menu Michiru-Akihiro,Menus,,N,,,,,,,0.00,,,,N,Y,64.90,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,Y,N,Y
menu-nigiri,10064,Menu Nigiri,Menus,,N,,,,,,,0.00,,,,N,Y,30.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y
menu-shake,10214,Menu Shake,Menus,"<p id=""isPasted"" style='caret-color: rgb(51, 51, 51); color: rgb(51, 51, 51); font-family: ""Open Sans"", sans-serif;'>Menu sp&eacute;cial saumon</p><p style='caret-color: rgb(51, 51, 51); color: rgb(51, 51, 51); font-family: ""Open Sans"", sans-serif;'>3 maki saumon</p><p style='caret-color: rgb(51, 51, 51); color: rgb(51, 51, 51); font-family: ""Open Sans"", sans-serif;'>3 maki saumon avocat</p><p style='caret-color: rgb(51, 51, 51); color: rgb(51, 51, 51); font-family: ""Open Sans"", sans-serif;'>3 california saumon concombre cheese</p><p style='caret-color: rgb(51, 51, 51); color: rgb(51, 51, 51); font-family: ""Open Sans"", sans-serif;'>3 california saumon avocat mangue</p><p style='caret-color: rgb(51, 51, 51); color: rgb(51, 51, 51); font-family: ""Open Sans"", sans-serif;'>1 nigiri saumon</p><p style='caret-color: rgb(51, 51, 51); color: rgb(51, 51, 51); font-family: ""Open Sans"", sans-serif;'>1 nigiri saumon cheese</p><p style='caret-color: rgb(51, 51, 51); color: rgb(51, 51, 51); font-family: ""Open Sans"", sans-serif;'>1 nigiri saumon grill&eacute;</p><p><a style=""color: rgb(235, 73, 71); transition: color 400ms, background-color 400ms; font-family: &quot;Open Sans&quot;, sans-serif;""></a></p>",N,,,,,,,0.00,,,,N,Y,25.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y
menu-shimamoto-san,10218,Menu Shimamoto-san,Menus,,N,,,,,,,0.00,,,,N,Y,119.90,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,Y,N,Y
menu-tokyo,10011,Menu Tokyo,Menus,,N,,,,,,,,,10003,0.000,N,Y,59.90,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y
menu-végétarien,10067,Menu Végétarien,Menus,,N,,,,,,,0.00,,,,N,Y,20.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y
menu-végétarien-ii,10070,Menu Végétarien Ii,Menus,,N,,,,,,,0.00,,,,N,Y,22.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,Y
"ne-pas-sonner,-bebe-dort",10092,"NE PAS SONNER, BEBE DORT",Paiement,,N,,,,,,,0.00,,,,N,Y,0.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
nigiri,10191,Nigiri,Devis,,N,,,,,,,0.00,,,,N,Y,3.75,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
nigiri-anguille-grillée-,10114,Nigiri anguille grillée,Nigiri,,N,,,,,,,0.00,,,,N,Y,9.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
nigiri-avocat,10115,Nigiri avocat,Nigiri,,N,,,,,,,0.00,,,,N,Y,6.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
nigiri-chamallow-,10083,Nigiri chamallow,Desserts,,N,,,,,,,0.00,,,,N,Y,6.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
nigiri-crevette,10113,Nigiri crevette,Nigiri,,N,,,,,,,0.00,,,,N,Y,7.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
nigiri-foie-gras,10118,Nigiri foie gras,Nigiri,,N,,,,,,,0.00,,,,N,Y,10.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
nigiri-mangue,10084,Nigiri mangue,Desserts,,N,,,,,,,0.00,,,,N,Y,6.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
nigiri-mozzarella-,10116,Nigiri mozzarella,Nigiri,,N,,,,,,,0.00,,,,N,Y,6.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
nigiri-omelette-japonaise,10117,Nigiri omelette japonaise,Nigiri,,N,,,,,,,0.00,,,,N,Y,6.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
nigiri-saumon,10057,Nigiri Saumon,Nigiri,,N,,,,,,,0.00,,,,N,Y,7.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
nigiri-saumon-cheese,10062,Nigiri saumon cheese,Nigiri,,N,,,,,,,0.00,,,,N,Y,8.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
nigiri-saumon-grillé-,10060,Nigiri saumon grillé,Nigiri,,N,,,,,,,0.00,,,,N,Y,7.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
nigiri-thon,10063,Nigiri thon,Nigiri,,N,,,,,,,0.00,,,,N,Y,9.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
nigiri-thon-grillé-,10112,Nigiri thon grillé,Nigiri,,N,,,,,,,0.00,,,,N,Y,9.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
nigiris-(20-pièces9,10178,Nigiris (20 pièces9,Lunchbox,,N,,,,,,,0.00,,,,N,Y,52.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
nom,10196,Nom,Abonnement,,N,,,,,,,0.00,,,,N,Y,0.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
onion-roll-poulet-mangue-poivron,10159,Onion roll poulet mangue poivron,Originaux,,N,,,,,,,0.00,,,,N,Y,9.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
onionroll-poulet-avocat-poivron-,10104,Onionroll poulet avocat poivron,Originaux,,N,,,,,,,0.00,,,,N,Y,9.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
onionroll-poulet-mangue-moutarde-de-bénichon,10211,Onionroll poulet mangue moutarde de Bénichon,Originaux,,N,,,,,,,0.00,,,,N,Y,9.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
pas-de-baguette,10162,Pas de baguette,Supplements gratuits,,N,,,,,,,0.00,,,,N,Y,0.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
payé,10193,Payé,Paiement,,N,,,,,,,0.00,,,,N,Y,0.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
pourboire-,10153,Pourboire,,,N,,,,,,,0.00,,,,N,Y,variable,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
pourboire-1,10154,Pourboire,,,N,,,,,,,0.00,,,,N,Y,variable,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
pourboire--2,10155,Pourboire,livraison,,N,,,,,,,0.00,,,,N,Y,variable,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
ramune,10055,Ramune,Boissons,,N,,,,,,,0.00,,,,Y,Y,4.50,-37.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
real-deal-deja-encaisse-,10166,Real deal deja encaisse,Paiement,,N,,,,,,,0.00,,,,N,Y,variable,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
rien,10161,Rien,Supplements gratuits,,N,,,,,,,0.00,,,,N,Y,0.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
riz-california,10209,Riz California,Ingrédients,,Y,,,,,,,0.00,,,,N,Y,variable,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
riz-vinaigré,10082,Riz vinaigré,Accompagnement,,N,,,,,,,0.00,,,,N,Y,3.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
salade-d'algue-wakame,10080,Salade d'algue wakame,Accompagnement,,N,,,,,,,0.00,,,,N,Y,7.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
salade-de-chou,10079,Salade de chou,Accompagnement,,N,,,,,,,0.00,,,,N,Y,3.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
salade-quinoa-edamame,10400,Salade quinoa Edamame,Accompagnement,,N,,,,,,,0.00,,,,N,Y,7.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
sashimi-6-pieces-saumon-thon,10301,Sashimi 6 pieces saumon thon,Sashimi,,N,,,,,,,0.00,,,,N,Y,11.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
saumon,10002,Sashimi saumon (10pc),Sashimi,,N,,,,,,,0.00,,,,N,Y,16.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
sashimi-saumon-6-pieces,10300,Sashimi saumon 6 pieces,Sashimi,,N,,,,,,,0.00,,,,N,Y,10.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
saumon-thon,10003,Sashimi saumon thon (5/5pc),Sashimi,,N,,,,,,,0.00,,,,N,Y,18.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
sauce-soja-salé-,10000,Sauce soja salé,Suppléments,,N,,,,,,,0.00,,,,N,Y,0.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
sauce-soja-sucré-,10053,Sauce soja sucré,Suppléments,,N,,,,,,,0.00,,,,N,Y,1.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
sauce-spicy,10094,Sauce spicy,Supplements gratuits,,N,,,,,,,0.00,,,,N,Y,0.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
signature,10200,Signature,Abonnement,,N,,,,,,,0.00,,,,N,Y,0.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
soja-salé,10147,Soja salé,Supplements gratuits,,N,,,,,,,0.00,,,,N,Y,0.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
soja-sucré-,10148,Soja sucré,Supplements gratuits,,N,,,,,,,0.00,,,,N,Y,0.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
soupe-miso,10081,Soupe miso,Accompagnement,,N,,,,,,,0.00,,,,N,Y,6.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
springroll-(30-pièces),10179,Springroll (30 pièces),Lunchbox,,N,,,,,,,0.00,,,,N,Y,1.60,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
springroll-concombre-avocat-cheese,10100,Springroll concombre avocat cheese,Springroll,,N,,,,,,,0.00,,,,N,Y,10.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
springroll-crevette-concombre-menthe,10098,Springroll crevette concombre menthe,Springroll,,N,,,,,,,0.00,,,,N,Y,10.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
